,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
43,Bazanji,High Definition,The City (Bonus Track) [feat. Cam Meekins & Jackson Breit],5Iksstl90MIT8xedlvqjUS,0.817,0.595,8,-7.598,1,0.0805,0.0,0.103,0.654,140.03,220000,4,0.0,Blue
44,Beach Fossils,Down the Line,Down the Line,15eduSFXnQfnQvcmWHDBPi,0.614,0.743,7,-6.574,1,0.0401,0.00368,0.147,0.531,162.228,158474,4,20.0,Blue
45,Beach House,Depression Cherry,Space Song,0hNhlwnzMLzZSlKGDCuHOo,0.508,0.788,0,-7.288,0,0.0296,0.13,0.144,0.586,147.06,320467,4,1.0,Blue
46,Blur,Blur (Special Edition),You're so Great - 2012 Remaster,7x6FZTgWolJs8e2cHfeUbR,0.501,0.723,11,-9.792,1,0.0356,0.78,0.342,0.637,133.196,215773,4,48.0,Blue
47,Brandyn Kaine,Artist Type,Artist Type,4AP2ck6k2d0nOGLz3pXtvD,0.62,0.722,1,-7.852,0,0.207,0.00448,0.141,0.302,121.965,247999,4,0.0,Blue
48,Cam Wallace,Unwind,Unwind,0S5VA4DaaAW9d1Yom1IbAj,0.665,0.772,6,-3.184,0,0.131,0.0,0.155,0.345,96.859,183286,4,11.0,Blue
49,Caye,"Shades, Pt. 1",Sunrise (Intro) [feat. Rosy],26nxjX1zXkT8oVwO9RPUMf,0.649,0.599,7,-7.744,1,0.234,0.0,0.195,0.41,77.057,202597,4,29.0,Blue
50,Caye,"Shades, Pt. 1",Coma (Remastered) [feat. Anibal],6kslhTC6qnOIU7IcDrG65x,0.614,0.427,11,-6.969,0,0.386,0.0,0.112,0.439,79.51,179075,4,31.0,Blue
51,Chance the Rapper,Coloring Book,Angels (feat. Saba),0jx8zY5JQsS4YEQcfkoc5C,0.771,0.647,5,-5.127,0,0.376,0.0,0.37,0.678,155.914,206240,4,59.0,Blue
52,Childish Gambino,Kauai,Sober,6olUplztLFFfU7fMYmFXOP,0.699,0.601,0,-6.48,1,0.0304,1.17e-05,0.562,0.434,98.04,252013,4,0.0,Blue
